0, 24-10-2025 18:04:41, Hardware monitoring log v1.6 ,,,,,,,,,,
1, 24-10-2025 18:04:41, Radeon RX 580 Series,,,,,,,,,,
2, 24-10-2025 18:04:41, Power               ,Framerate           ,Frametime           ,,,,,,,Framerate           ,Frametime           
80, 24-10-2025 18:05:52,129.296,45.8,23.311,,,,,,,45.8,23.311
80, 24-10-2025 18:05:53,132.671,44.6,26.836,,,,,,,44.6,26.836
80, 24-10-2025 18:05:54,131.875,43.6,27.731,,,,,,,43.6,27.731
80, 24-10-2025 18:05:55,131.484,45.2,23.155,,,,,,,45.2,23.155
80, 24-10-2025 18:05:56,135.718,46.4,23.058,,,,,,,46.4,23.058
80, 24-10-2025 18:05:57,130.695,48.1,21.985,,,,,,,48.1,21.985
80, 24-10-2025 18:05:58,132.734,50.1,23.32,,,,,,,50.1,23.32
80, 24-10-2025 18:05:59,131.558,52.8,20.48,,,,,,,52.8,20.48
80, 24-10-2025 18:06:00,128.789,56.1,19.389,,,,,,,56.1,19.389
80, 24-10-2025 18:06:01,126.582,55.5,18.637,,,,,,,55.5,18.637
80, 24-10-2025 18:06:02,127.054,56.1,18.529,,,,,,,56.1,18.529
80, 24-10-2025 18:06:03,131.808,51.7,23.748,,,,,,,51.7,23.748
80, 24-10-2025 18:06:04,128.91,53.5,19.989,,,,,,,53.5,19.989
80, 24-10-2025 18:06:05,127.695,51.9,20.596,,,,,,,51.9,20.596
80, 24-10-2025 18:06:06,132.011,53.1,20.431,,,,,,,53.1,20.431
80, 24-10-2025 18:06:07,130.019,52.1,20.62,,,,,,,52.1,20.62
80, 24-10-2025 18:06:08,135.07,51.2,25.322,,,,,,,51.2,25.322
80, 24-10-2025 18:06:09,131.96,52.9,22.882,,,,,,,52.9,22.882
80, 24-10-2025 18:06:10,137.636,57.1,19.462,,,,,,,57.1,19.462
80, 24-10-2025 18:06:11,139.628,52.7,19.522,,,,,,,52.7,19.522
80, 24-10-2025 18:06:12,134.277,56.4,18.81,,,,,,,56.4,18.81
80, 24-10-2025 18:06:13,132.835,58.9,19.163,,,,,,,58.9,19.163
80, 24-10-2025 18:06:14,137.167,56.2,19.413,,,,,,,56.2,19.413
80, 24-10-2025 18:06:15,138.207,64.2,16.755,,,,,,,64.2,16.755
80, 24-10-2025 18:06:16,135.554,63.7,16.98,,,,,,,63.7,16.98
80, 24-10-2025 18:06:17,141.246,54.1,19.746,,,,,,,54.1,19.746
80, 24-10-2025 18:06:18,140.238,53,20.642,,,,,,,53,20.642
80, 24-10-2025 18:06:19,138.621,53.7,19.469,,,,,,,53.7,19.469
80, 24-10-2025 18:06:20,141.39,49.5,21.334,,,,,,,49.5,21.334
80, 24-10-2025 18:06:21,142.476,47.7,21.886,,,,,,,47.7,21.886
80, 24-10-2025 18:06:22,142.32,52.1,20.419,,,,,,,52.1,20.419
80, 24-10-2025 18:06:23,137.421,54.1,21.984,,,,,,,54.1,21.984
80, 24-10-2025 18:06:24,138.128,62.2,17.594,,,,,,,62.2,17.594
80, 24-10-2025 18:06:25,130.968,60.9,19.718,,,,,,,60.9,19.718
80, 24-10-2025 18:06:26,132.351,59.3,24.857,,,,,,,59.3,24.857
80, 24-10-2025 18:06:27,131.796,64.9,17.82,,,,,,,64.9,17.82
80, 24-10-2025 18:06:28,130.855,76.7,15.893,,,,,,,76.7,15.893
80, 24-10-2025 18:06:29,130.183,78.6,13.421,,,,,,,78.6,13.421
80, 24-10-2025 18:06:30,130.64,74.5,14.102,,,,,,,74.5,14.102
80, 24-10-2025 18:06:31,130.718,70,14.901,,,,,,,70,14.901
80, 24-10-2025 18:06:32,130.753,65.5,16.058,,,,,,,65.5,16.058
80, 24-10-2025 18:06:33,132.855,59.6,23.995,,,,,,,59.6,23.995
80, 24-10-2025 18:06:34,140.042,48.5,21.818,,,,,,,48.5,21.818
80, 24-10-2025 18:06:35,133.078,50,21.395,,,,,,,50,21.395
80, 24-10-2025 18:06:36,133.128,52.5,20.072,,,,,,,52.5,20.072
80, 24-10-2025 18:06:37,134.722,53.9,19.155,,,,,,,53.9,19.155
80, 24-10-2025 18:06:38,131.656,53.4,21.872,,,,,,,53.4,21.872
80, 24-10-2025 18:06:39,132.562,54,19.175,,,,,,,54,19.175
80, 24-10-2025 18:06:40,130.066,54.5,19.429,,,,,,,54.5,19.429
80, 24-10-2025 18:06:41,128.082,52.6,20.408,,,,,,,52.6,20.408
80, 24-10-2025 18:06:42,132.417,53.4,20.484,,,,,,,53.4,20.484
