os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),AMD Ryzen 7 9800X3D 8-Core Processor,AMD Radeon RX 9070 XT (RADV GFX1201),65438132,6.17.8-2-cachyos,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
252.492,3.96052,21.9298,0,86,59,51,3120,1358,4.90783,251,10.7373,0,0,538021225
248.67,4.02139,21.9298,0,86,59,51,3120,1358,4.90783,251,10.7373,0,0,638137415
243.213,4.11162,21.9298,0,86,59,51,3120,1358,4.90783,251,10.7373,0,0,738209794
229.453,4.35819,21.9298,0,86,59,51,3120,1358,4.90783,251,10.7373,0,0,838256604
243.304,4.11009,21.9298,0,86,59,51,3120,1358,4.90783,251,10.7373,0,0,938327330
230.617,4.33619,21.5637,0,89,59,51,3113,1358,4.90783,259,10.7093,0,0,1038396552
242.463,4.12435,21.5637,0,89,59,51,3113,1358,4.90783,259,10.7093,0,0,1138467548
225.304,4.43845,21.5637,0,89,59,51,3113,1358,4.90783,259,10.7093,0,0,1238537682
261.7,3.82117,21.5637,0,89,59,51,3113,1358,4.90783,259,10.7093,0,0,1338606955
246.037,4.06442,21.5637,0,89,59,51,3113,1358,4.90783,259,10.7093,0,0,1438677109
245.611,4.07149,21.7446,0,87,59,51,3121,1358,4.90783,252,10.7066,0,0,1538746472
224.497,4.45441,21.7446,0,87,59,51,3121,1358,4.90783,252,10.7066,0,0,1638817518
253.065,3.95155,21.7446,0,87,59,51,3121,1358,4.90783,252,10.7066,0,0,1738887161
235.93,4.23855,21.7446,0,87,59,51,3121,1358,4.90783,252,10.7066,0,0,1838957446
234.093,4.2718,21.7446,0,87,59,51,3121,1358,4.90783,252,10.7066,0,0,1939026398
229.008,4.36665,22.375,0,89,59,51,3100,1358,4.90783,254,10.7083,0,0,2039094388
260.667,3.83632,22.375,0,89,59,51,3100,1358,4.90783,254,10.7083,0,0,2139163681
239.462,4.17603,22.375,0,89,59,51,3100,1358,4.90783,254,10.7083,0,0,2239232182
226.606,4.41295,22.375,0,89,59,51,3100,1358,4.90783,254,10.7083,0,0,2339300383
232.774,4.29601,22.375,0,89,59,51,3100,1358,4.90783,254,10.7083,0,0,2439369826
250.286,3.99543,22.896,0,88,59,51,3103,1358,4.90783,249,10.7114,0,0,2539442154
260.499,3.83878,22.896,0,88,59,51,3103,1358,4.90783,249,10.7114,0,0,2639513320
246.659,4.05418,22.896,0,88,59,51,3103,1358,4.90783,249,10.7114,0,0,2739584126
228.896,4.36879,22.896,0,88,59,51,3103,1358,4.90783,249,10.7114,0,0,2839655943
255.224,3.91812,22.896,0,88,59,51,3103,1358,4.90783,249,10.7114,0,0,2939726769
239.85,4.16928,22.0828,0,89,59,51,3120,1358,4.90783,255,10.7129,0,0,3039798556
246.354,4.05921,22.0828,0,89,59,51,3120,1358,4.90783,255,10.7129,0,0,3139867769
216.102,4.62744,22.0828,0,89,59,51,3120,1358,4.90783,255,10.7129,0,0,3239939326
259.831,3.84866,22.0828,0,89,59,51,3120,1358,4.90783,255,10.7129,0,0,3340010562
234.104,4.2716,22.0828,0,89,59,51,3120,1358,4.90783,255,10.7129,0,0,3440080536
231.653,4.31681,22.75,0,87,59,51,3112,1358,4.90783,252,10.7148,0,0,3540152634
226.796,4.40925,22.75,0,87,59,51,3112,1358,4.90783,252,10.7148,0,0,3640217468
260.897,3.83293,22.75,0,87,59,51,3112,1358,4.90783,252,10.7148,0,0,3740289817
240.651,4.1554,22.75,0,87,59,51,3112,1358,4.90783,252,10.7148,0,0,3840359660
233.937,4.27465,22.75,0,87,59,51,3112,1358,4.90783,252,10.7148,0,0,3940429885
219.577,4.5542,22.2222,0,88,59,51,3116,1358,4.90783,257,10.7203,0,0,4040465454
250.214,3.99658,22.2222,0,88,59,51,3116,1358,4.90783,257,10.7203,0,0,4140535538
237.629,4.20824,22.2222,0,88,59,51,3116,1358,4.90783,257,10.7203,0,0,4240605753
242.453,4.12451,22.2222,0,88,59,51,3116,1358,4.90783,257,10.7203,0,0,4340677189
219.526,4.55526,22.2222,0,88,59,51,3116,1358,4.90783,257,10.7203,0,0,4440747885
258.885,3.86272,21.8593,0,88,59,51,3103,1358,4.90783,258,10.7177,0,0,4540822938
245.54,4.07265,21.8593,0,88,59,51,3103,1358,4.90783,258,10.7177,0,0,4640930513
236.443,4.22935,21.8593,0,88,59,51,3103,1358,4.90783,258,10.7177,0,0,4741011487
217.643,4.59469,21.8593,0,88,59,51,3103,1358,4.90783,258,10.7177,0,0,4841083515
256.374,3.90056,21.8593,0,88,59,51,3103,1358,4.90783,258,10.7177,0,0,4941154261
238.842,4.18687,21.9573,0,86,59,51,3109,1358,4.90783,253,10.709,0,0,5041204367
238.202,4.19812,21.9573,0,86,59,51,3109,1358,4.90783,253,10.709,0,0,5141274832
227.275,4.39995,21.9573,0,86,59,51,3109,1358,4.90783,253,10.709,0,0,5241342812
258.085,3.8747,21.9573,0,86,59,51,3109,1358,4.90783,253,10.709,0,0,5341413558
240.772,4.15331,21.9573,0,86,59,51,3109,1358,4.90783,253,10.709,0,0,5441488761
243.46,4.10745,21.8159,0,88,60,51,3104,1358,4.90783,251,10.7109,0,0,5541557703
224.731,4.44977,21.8159,0,88,60,51,3104,1358,4.90783,251,10.7109,0,0,5641628449
260.789,3.83451,21.8159,0,88,60,51,3104,1358,4.90783,251,10.7109,0,0,5741702961
248.272,4.02784,21.8159,0,88,60,51,3104,1358,4.90783,251,10.7109,0,0,5841774598
247.703,4.03709,21.8159,0,88,60,51,3104,1358,4.90783,251,10.7109,0,0,5941850273
258.298,3.87149,24.0397,0,88,60,51,3115,1358,4.90783,255,10.7103,0,0,6041926048
238.422,4.19424,24.0397,0,88,60,51,3115,1358,4.90783,255,10.7103,0,0,6141998477
245.279,4.077,24.0397,0,88,60,51,3115,1358,4.90783,255,10.7103,0,0,6242070845
209.264,4.77865,24.0397,0,88,60,51,3115,1358,4.90783,255,10.7103,0,0,6342142532
261.37,3.826,24.0397,0,88,60,51,3115,1358,4.90783,255,10.7103,0,0,6442192919
236.338,4.23123,21.2198,0,88,60,51,3111,1358,4.90783,260,10.7115,0,0,6542263965
236.506,4.22822,21.2198,0,88,60,51,3111,1358,4.90783,260,10.7115,0,0,6642337426
231.994,4.31045,21.2198,0,88,60,51,3111,1358,4.90783,260,10.7115,0,0,6742407260
257.829,3.87855,21.2198,0,88,60,51,3111,1358,4.90783,260,10.7115,0,0,6842478085
243.037,4.1146,21.2198,0,88,60,51,3111,1358,4.90783,260,10.7115,0,0,6942547418
253.97,3.93748,21.4376,0,86,60,51,3114,1358,4.90783,256,10.7116,0,0,7042617562
239.166,4.18119,21.4376,0,86,60,51,3114,1358,4.90783,256,10.7116,0,0,7142686584
254.444,3.93014,21.4376,0,86,60,51,3114,1358,4.90783,256,10.7116,0,0,7242755156
241.2,4.14594,21.4376,0,86,60,51,3114,1358,4.90783,256,10.7116,0,0,7342823927
243.979,4.09872,21.4376,0,86,60,51,3114,1358,4.90783,256,10.7116,0,0,7442892298
227.146,4.40246,21.7172,0,87,60,51,3096,1358,4.90783,246,10.7121,0,0,7542962673
252.303,3.9635,21.7172,0,87,60,51,3096,1358,4.90783,246,10.7121,0,0,7643029731
241.858,4.13466,21.7172,0,87,60,51,3096,1358,4.90783,246,10.7121,0,0,7743108632
244.756,4.0857,21.7172,0,87,60,51,3096,1358,4.90783,246,10.7121,0,0,7843177694
221.045,4.52396,21.7172,0,87,60,51,3096,1358,4.90783,246,10.7121,0,0,7943256996
243.602,4.10506,24.2767,0,86,60,51,3111,1358,4.90783,253,10.7186,0,0,8043328813
241.475,4.14122,24.2767,0,86,60,51,3111,1358,4.90783,253,10.7186,0,0,8143405259
242.218,4.12851,24.2767,0,86,60,51,3111,1358,4.90783,253,10.7186,0,0,8243476977
225.516,4.43428,24.2767,0,86,60,51,3111,1358,4.90783,253,10.7186,0,0,8343547892
262.585,3.80828,24.2767,0,86,60,51,3111,1358,4.90783,253,10.7186,0,0,8443618658
256.49,3.89879,22.0974,0,87,60,50,3120,1358,4.90783,258,10.715,0,0,8543689213
241.659,4.13806,22.0974,0,87,60,50,3120,1358,4.90783,258,10.715,0,0,8643762653
213.218,4.69004,22.0974,0,87,60,50,3120,1358,4.90783,258,10.715,0,0,8743833739
267.248,3.74185,22.0974,0,87,60,50,3120,1358,4.90783,258,10.715,0,0,8843906348
235.777,4.2413,22.0974,0,87,60,50,3120,1358,4.90783,258,10.715,0,0,8943976503
241.872,4.13443,22.5847,0,87,59,51,3111,1358,4.90783,252,10.7133,0,0,9044046687
228.053,4.38494,22.5847,0,87,59,51,3111,1358,4.90783,252,10.7133,0,0,9144114727
290.627,3.44083,22.5847,0,87,59,51,3111,1358,4.90783,252,10.7133,0,0,9244164353
233.788,4.27738,22.5847,0,87,59,51,3111,1358,4.90783,252,10.7133,0,0,9344233305
234.147,4.27082,22.5847,0,87,59,51,3111,1358,4.90783,252,10.7133,0,0,9444304411
221.931,4.5059,22.3471,0,88,59,51,3116,1358,4.90783,255,10.7122,0,0,9544376750
259.753,3.84981,22.3471,0,88,59,51,3116,1358,4.90783,255,10.7122,0,0,9644449759
243.583,4.10538,22.3471,0,88,59,51,3116,1358,4.90783,255,10.7122,0,0,9744534401
238.416,4.19435,22.3471,0,88,59,51,3116,1358,4.90783,255,10.7122,0,0,9844609554
227.282,4.39981,22.3471,0,88,59,51,3116,1358,4.90783,255,10.7122,0,0,9944682374
264.136,3.78593,21.9573,0,89,59,51,3101,1358,4.90783,250,10.7117,0,0,10044753931
243.631,4.10457,21.9573,0,89,59,51,3101,1358,4.90783,250,10.7117,0,0,10144826710
246.337,4.05948,21.9573,0,89,59,51,3101,1358,4.90783,250,10.7117,0,0,10244897776
228.262,4.38093,21.9573,0,89,59,51,3101,1358,4.90783,250,10.7117,0,0,10344976506
252.922,3.95379,21.9573,0,89,59,51,3101,1358,4.90783,250,10.7117,0,0,10445087737
227.682,4.39209,21.8987,0,88,59,51,3116,1358,4.90783,254,10.7108,0,0,10545158984
240.013,4.16644,21.8987,0,88,59,51,3116,1358,4.90783,254,10.7108,0,0,10645259866
231.574,4.31828,21.8987,0,88,59,51,3116,1358,4.90783,254,10.7108,0,0,10745318098
248.259,4.02806,21.8987,0,88,59,51,3116,1358,4.90783,254,10.7108,0,0,10845373615
241.244,4.14519,21.8987,0,88,59,51,3116,1358,4.90783,254,10.7108,0,0,10945435293
236.503,4.22828,22.3338,0,88,59,51,3126,1358,4.90783,258,10.7107,0,0,11045492172
219.026,4.56567,22.3338,0,88,59,51,3126,1358,4.90783,258,10.7107,0,0,11145548250
278.659,3.58861,22.3338,0,88,59,51,3126,1358,4.90783,258,10.7107,0,0,11245606592
240.095,4.16502,22.3338,0,88,59,51,3126,1358,4.90783,258,10.7107,0,0,11345675484
239.92,4.16806,22.3338,0,88,59,51,3126,1358,4.90783,258,10.7107,0,0,11445746009
227.192,4.40156,22.2641,0,88,59,51,3119,1358,4.90783,256,10.7074,0,0,11545815883
252.252,3.96429,22.2641,0,88,59,51,3119,1358,4.90783,256,10.7074,0,0,11645876209
